iter	Passed	Remaining
0	28	28959
1	52	26177
2	76	25280
3	100	25009
4	124	24785
5	147	24417
6	170	24220
7	187	23225
8	199	21988
9	210	20875
10	229	20639
11	253	20894
12	284	21622
13	335	23610
14	359	23585
15	381	23481
16	411	23808
17	434	23716
18	458	23678
19	481	23603
20	505	23547
21	529	23517
22	552	23477
23	576	23430
24	599	23379
25	623	23340
26	645	23252
27	672	23335
28	694	23249
29	716	23176
30	739	23119
31	762	23066
32	786	23043
33	809	22999
34	834	23013
35	861	23059
36	886	23078
37	909	23022
38	931	22964
39	955	22920
40	979	22920
41	1003	22880
42	1026	22850
43	1048	22791
44	1070	22725
45	1093	22672
46	1116	22634
47	1140	22613
48	1162	22565
49	1190	22616
50	1214	22604
51	1239	22603
52	1280	22871
53	1301	22798
54	1325	22773
55	1349	22745
56	1373	22724
57	1395	22672
58	1418	22630
59	1441	22590
60	1465	22556
61	1488	22517
62	1511	22478
63	1534	22448
64	1557	22408
65	1580	22366
66	1603	22327
67	1626	22296
68	1649	22259
69	1672	22220
70	1695	22184
71	1719	22158
72	1742	22128
73	1766	22107
74	1789	22074
75	1813	22046
76	1836	22012
77	1859	21978
78	1881	21937
79	1904	21900
80	1927	21865
81	1948	21818
82	1972	21797
83	1995	21759
84	2017	21716
85	2040	21686
86	2062	21646
87	2085	21614
88	2107	21572
89	2129	21535
90	2151	21493
91	2175	21473
92	2198	21442
93	2220	21403
94	2243	21370
95	2272	21395
96	2295	21371
97	2318	21339
98	2341	21312
99	2363	21271
100	2386	21246
101	2408	21207
102	2431	21174
103	2453	21135
104	2476	21110
105	2499	21078
106	2523	21058
107	2546	21033
108	2569	21000
109	2592	20973
110	2614	20942
111	2637	20914
112	2660	20882
113	2683	20853
114	2706	20825
115	2728	20795
116	2750	20759
117	2773	20731
118	2796	20701
119	2818	20668
120	2841	20638
121	2865	20619
122	2887	20588
123	2910	20560
124	2933	20534
125	2955	20500
126	2977	20468
127	3000	20441
128	3022	20408
129	3044	20373
130	3066	20342
131	3088	20307
132	3111	20280
133	3134	20256
134	3155	20221
135	3179	20197
136	3203	20178
137	3225	20150
138	3253	20150
139	3275	20121
140	3297	20091
141	3320	20061
